Animal_Id;animal_type;animal_breed;Kennel_Number;Kennel_Status;Tag_Type;Activity_Number;Activity_Sequence;Source_Id;Census_Tract;Council_District;intake_type;Intake_Subtype;Reason;Staff_Id;intake_date;intake_time;Due_Out;intake_condition;Hold_Request;Outcome_Type;Outcome_Date;Outcome_Time;Receipt_Number;Impound_Number;Service_Request_Number;Outcome_Condition;chip_status;Animal_Origin;Additional_Information;animal_stay_days;Month;Year;;;;;;;;;;;;;;;;
A1068513;OFFSET_1;52;SH;K14;IMPOUNDED;1;P0052809;10101;6;STRAY;AT;LARGE;OTHRINTAKS;AH;5/21/2019;00:00;15:28:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462190;SCAN;NO;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1068482;OFFSET_1;52;SH;LFC;11;IMPOUNDED;1;P0787821;16520;3;STRAY;AT;LARGE;OTHRINTAKS;BW;5/21/2019;00:00;13:51:00;5/25/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;SPAY;NEUTER;NETWORK;OTHER;00:00:00;K19-462150;UNABLE;TO;SCAN;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;
A1068510;OFFSET_1;52;SH;K14;IMPOUNDED;1;P0052809;10101;6;STRAY;AT;LARGE;OTHRINTAKS;AH;5/21/2019;00:00;15:28:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462187;SCAN;NO;CHIP;OVER;THE;COUNTER;1;FY2017;NEXT_FY;;;;;;;;;;;;
A1068576;OFFSET_1;52;SH;K6;IMPOUNDED;A19-174278;1;P0884765;8704;4;STRAY;AT;LARGE;OTHER;MM1701;5/21/2019;00:00;21:12:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462250;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;
A1068577;OFFSET_1;52;SH;K6;IMPOUNDED;A19-174278;1;P0884765;8704;4;STRAY;AT;LARGE;OTHER;MM1701;5/21/2019;00:00;21:12:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462251;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;
A1068571;OFFSET_1;52;SH;PCC;2;IMPOUNDED;A19-174279;1;P9991754;6301;4;STRAY;CONFINED;OTHER;AT1754;5/21/2019;00:00;20:37:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462245;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;
A1068578;OFFSET_1;52;SH;K9;IMPOUNDED;A19-174247;1;P9991770;12701;9;STRAY;CONFINED;OTHER;VD1770;5/21/2019;00:00;23:12:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462252;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1068581;OFFSET_1;52;SH;INCU;1;IMPOUNDED;A19-174312;1;P0884808;12206;7;STRAY;CONFINED;OTHRINTAKS;EPOOLE;5/21/2019;00:00;23:22:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;RESC;FOSTR;OTHER;00:00:00;K19-462255;SCAN;NO;CHIP;FIELD;1;FY2017;NEXT_FY;16.3215859;;;;;;;;;;;;
A1065039;OFFSET_2;LABRADOR;RETR;PCD;9;AVAILABLE;A19-168707;1;P9991757;12000;7;CONFISOFFSET_1ED;KEEP;SAFE;OTHER;DT1757;4/23/2019;00:00;03:34:00;05/03/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-457973;SCAN;NO;CHIP;FIELD;29;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066100;OFFSET_2;PIT;BULL;AD;54;AVAILABLE;A19-170038;1;P0689534;19016;10;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;VD1770;4/30/2019;00:00;07:15:00;05/09/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459171;SCAN;NO;CHIP;FIELD;22;FY2017;NEXT_FY;;;;;;;;;;;;
A1066408;OFFSET_2;GERM;SHEPHERD;LFD;4;EU;RISK;A19-170606;1;P9991695;11701;5;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;YL1695;05/02/2019;00:00;14:16:00;05/03/2019;00:00;TREATABLE;MANAGEABLE;CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459558;SCAN;CHIP;FIELD;20;FY2017;NEXT_FY;;;;;;;;;;;;;
A1056587;OFFSET_2;PIT;BULL;PCD;6;IMPOUNDED;A19-172612;1;P0691335;3400;7;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;AV1171;5/13/2019;00:00;08:42:00;5/24/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-460930;SCAN;CHIP;FIELD;9;FY2017;NEXT_FY;;;;;;;;;;;;;
A1067511;OFFSET_2;PIT;BULL;PCD;7;IMPOUNDED;A19-172612;1;P0691335;3400;7;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;AV1171;5/13/2019;00:00;08:42:00;5/24/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-460933;SCAN;NO;CHIP;FIELD;9;FY2017;NEXT_FY;;;;;;;;;;;;
A1067910;OFFSET_2;PIT;BULL;PCD;13;IMPOUNDED;A19-173407;1;P9991758;19035;10;CONFISOFFSET_1ED;EVICTION;OTHRINTAKS;AR1758;5/16/2019;00:00;10:44:00;5/26/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-461419;SCAN;NO;CHIP;FIELD;6;FY2017;NEXT_FY;;;;;;;;;;;;;
A1067909;OFFSET_2;PIT;BULL;PCD;13;IMPOUNDED;A19-173407;1;P9991758;19035;10;CONFISOFFSET_1ED;EVICTION;OTHRINTAKS;AR1758;5/16/2019;00:00;10:44:00;5/26/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-461418;SCAN;NO;CHIP;FIELD;6;FY2017;NEXT_FY;;;;;;;;;;;;;
A0846665;OFFSET_2;ROTTWEILER;PCD;8;IMPOUNDED;A19-173516;1;P0884172;9802;6;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;TM1736;5/17/2019;00:00;04:59:00;5/28/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;HOLD;NOTIFY;OTHER;00:00:00;K19-461502;SCAN;CHIP;FIELD;5;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1068083;OFFSET_2;CHOW;CHOW;PCD;18;IMPOUNDED;A19-173674;1;P9991724;5901;4;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;LH1724;5/18/2019;00:00;06:58:00;5/29/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-461634;SCAN;NO;CHIP;FIELD;CAUTION;4;FY2017;NEXT_FY;;;;;;;;;;;;;
A1068258;OFFSET_2;LABRADOR;RETR;PCD;25;IMPOUNDED;A19-173899;1;P9991579;11500;5;CONFISOFFSET_1ED;CRUELTY;OTHER;ASB1579;5/19/2019;00:00;14:52:00;5/30/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;CRUELTY;OTHER;00:00:00;K19-461856;SCAN;NO;CHIP;SWEEP;3;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1068259;OFFSET_2;LABRADOR;RETR;PCD;28;IMPOUNDED;A19-173899;1;P9991579;11500;5;CONFISOFFSET_1ED;CRUELTY;OTHER;ASB1579;5/19/2019;00:00;14:52:00;5/30/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;CRUELTY;OTHER;00:00:00;K19-461857;SCAN;NO;CHIP;SWEEP;3;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1068629;OFFSET_2;AMERICAN;STAFF;RECEIVING;IMPOUNDED;A19-174329;1;P0884844;9611;13;CONFISOFFSET_1ED;KEEP;SAFE;OTHRINTAKS;YL1695;5/22/2019;00:00;11:25:00;06/01/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;KEEP;SAFE;OTHER;00:00:00;K19-462330;SCAN;NO;CHIP;FIELD;0;FY2017;NEXT_FY;;;;;;;;;;;;;
A1056914;OFFSET_2;PIT;BULL;PAWS;23;AVAILABLE;A19-152070;1;P0851701;5600;4;FOSTER;GENERAL;OTHRINTAKS;NRH;04/09/2019;00:00;11:17:00;04/09/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-456280;SCAN;NO;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;43;FY2017;NEXT_FY;;;;;;;;;
A1051141;OFFSET_2;LABRADOR;RETR;QD;3;UNAVAILABLE;A19-172562;1;P0875081;20500;6;FOSTER;QUARANTINE;OTHRINTAKS;AH;05/12/2019;00:00;12:22:00;5/21/2019;00:00;UNHEALTHY;UNTREATABLE;NON-CONTAGIOUS;FOSTER;OTHER;00:00:00;K19-460851;SCAN;CHIP;OVER;THE;COUNTER;10;FY2017;NEXT_FY;;;;;;;;;;;;;
A1063082;OFFSET_2;AM;PIT;BULL;TER;F4;UNAVAILABLE;A19-165468;1;P0870824;20500;6;FOSTER;RETURN;OTHER;AT1754;5/20/2019;00:00;17:50:00;5/20/2019;00:00;HEALTHY;ADOP;RESCU;FOSTER;00:00:00;K19-462025;HEALTHY;SCAN;NO;CHIP;FIELD;FOSTER;2;FY2017;NEXT_FY;;;;;;;;;;;;
A1060581;OFFSET_2;LABRADOR;RETR;DC;20;UNAVAILABLE;1;P0508088;20500;6;FOSTER;TREATMENT;OTHER;BP;5/21/2019;00:00;10:02:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462083;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;FOSTER;1;FY2017;NEXT_FY;;;;;;;;;
A1064082;OFFSET_2;CHIHUAHUA;SH;DC;19;UNAVAILABLE;1;P0866795;20500;6;FOSTER;TREATMENT;OTHER;BP;5/21/2019;00:00;09:25:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;FOSTER;00:00:00;K19-462063;TREATABLE;REHABILITABLE;CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;TRANSPORT;1;FY2017;NEXT_FY;;;;;;;;;;
A1066507;OFFSET_2;LABRADOR;RETR;DC;24;UNAVAILABLE;1;P0063552;20500;6;FOSTER;TREATMENT;OTHER;BP;5/21/2019;00:00;09:29:00;5/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462065;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;FOSTER;1;FY2017;NEXT_FY;;;;;;;;;
A1062590;OFFSET_2;AM;PIT;BULL;TER;OFFICE;UNAVAILABLE;1;P0863065;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;08:40:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462286;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;
A0965158;OFFSET_2;GERM;SHEPHERD;DC;21;UNAVAILABLE;1;P0864711;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:57:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462303;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;0;FY2017;NEXT_FY;;;;;;;;;;
A1063888;OFFSET_2;LABRADOR;RETR;DC;23;UNAVAILABLE;A19-166727;1;P0063552;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;08:42:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462287;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;
A1067092;OFFSET_2;PIT;BULL;OFFICE;UNAVAILABLE;A19-171766;1;P0680840;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;08:40:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462285;HEALTHY;SCAN;NO;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;;;;
A0798297;OFFSET_2;AM;PIT;BULL;TER;F2;AVAILABLE;A19-160407;1;P0884414;20500;6;FOSTER;TREATMENT;OTHER;BP;5/22/2019;00:00;09:58:00;5/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;FOSTER;00:00:00;K19-462305;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;SCAN;CHIP;OVER;THE;COUNTER;FOSTER;0;FY2017;NEXT_FY;;;;;;;
A1061670;OFFSET_2;CAIRN;TERRIER;FOUND;IMPOUNDED;1;P0876890;FOUND;REPORT;DG;3/21/2019;00:00;14:14:00;3/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-453994;SCAN;NO;CHIP;OVER;THE;COUNTER;62;FY2017;NEXT_FY;;;;;;;;;;;;;;;;;;
A1064774;OFFSET_2;CHIHUAHUA;LH;FOUND;IMPOUNDED;1;P0880627;10803;3;FOUND;REPORT;DG;4/20/2019;00:00;13:07:00;4/20/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-457714;SCAN;NO;CHIP;OVER;THE;COUNTER;32;FY2017;NEXT_FY;;;;;;;;;;;;;;;;
A1062294;OFFSET_2;PIT;BULL;PSOFFSET_2;4;AVAILABLE;1;P0877643;16701;8;OWNER;SURRENDER;GENERAL;BEHAVIOR;BW;3/26/2019;00:00;12:07:00;3/26/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-454695;SCAN;NO;CHIP;OVER;THE;COUNTER;57;FY2017;NEXT_FY;;;;;;;;;;;
A1049500;OFFSET_2;LABRADOR;RETR;STAR;1;AVAILABLE;1;P0863026;20500;6;OWNER;SURRENDER;GENERAL;NOTRIGHTFT;BW;04/02/2019;00:00;11:11:00;04/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-455481;SCAN;CHIP;OVER;THE;COUNTER;50;FY2017;NEXT_FY;;;;;;;;;;;;
A1063007;OFFSET_2;PIT;BULL;PAWS;21;AVAILABLE;1;P0878582;7818;13;OWNER;SURRENDER;GENERAL;FINANCIAL;AH;04/03/2019;00:00;11:05:00;04/09/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-455595;SCAN;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;49;FY2017;NEXT_FY;;;;;;;;;;
A1063337;OFFSET_2;PIT;BULL;PAWS;17;AVAILABLE;A19-165805;1;P0879000;12500;9;OWNER;SURRENDER;GENERAL;BEHAVIOR;TM1736;04/06/2019;00:00;16:15:00;04/06/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-456013;SCAN;NO;CHIP;FIELD;FREE;ADOPTION;46;FY2017;NEXT_FY;;;;;;;;;;
A1058824;OFFSET_2;PIT;BULL;PAWS;18;AVAILABLE;1;P0878020;20500;6;OWNER;SURRENDER;RETURN30;OTHRINTAKS;AH;4/15/2019;00:00;11:05:00;4/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-457002;SCAN;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;37;FY2017;NEXT_FY;;;;;;;;;;
A1064194;OFFSET_2;GERM;SHEPHERD;PSOFFSET_2;16;AVAILABLE;A19-167116;1;P0758030;5600;4;OWNER;SURRENDER;GENERAL;OTHRINTAKS;RV1213;4/15/2019;00:00;16:50:00;4/15/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-457076;SCAN;CHIP;FIELD;37;FY2017;NEXT_FY;;;;;;;;;;;;;
A1064550;OFFSET_2;PIT;BULL;PAWS;5;EU;RISK;1;P0880358;16510;3;OWNER;SURRENDER;GENERAL;HOUSING;CBM;4/18/2019;00:00;15:12:00;4/18/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;TRANSFER;00:00:00;K19-457458;SCAN;NO;CHIP;OVER;THE;COUNTER;TAGGED;34;FY2017;NEXT_FY;;;;;;;;;
A1064923;OFFSET_2;PIT;BULL;OFFICE;AVAILABLE;1;P0491368;12302;7;OWNER;SURRENDER;GENERAL;PERSNLISSU;IF;4/21/2019;00:00;15:34:00;4/21/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-457833;SCAN;NO;CHIP;OVER;THE;COUNTER;31;FY2017;NEXT_FY;;;;;;;;;;;;
A1053400;OFFSET_2;PIT;BULL;PAWS;16;AVAILABLE;1;P0880705;20500;6;OWNER;SURRENDER;RETURN30;OTHRINTAKS;AH;4/22/2019;00:00;12:17:00;4/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-457900;SCAN;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;30;FY2017;NEXT_FY;;;;;;;;;;
A1064056;OFFSET_2;PIT;BULL;AD;17;AVAILABLE;1;P0834588;13611;11;OWNER;SURRENDER;RETURN30;OTHER;IF;4/22/2019;00:00;17:00:00;4/22/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-457945;SCAN;CHIP;OVER;THE;COUNTER;30;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1065848;OFFSET_2;LABRADOR;RETR;PAWS;2;AVAILABLE;1;P0691895;8900;4;OWNER;SURRENDER;GENERAL;NOTRIGHTFT;JR/LS;4/27/2019;00:00;15:04:00;4/27/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-458875;SCAN;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;25;FY2017;NEXT_FY;;;;;;;;;;;
A1065874;OFFSET_2;BOXER;AD;3;AVAILABLE;1;P0881849;9900;6;OWNER;SURRENDER;GENERAL;PERSNLISSU;IF;4/27/2019;00:00;18:01:00;4/27/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-458905;SCAN;NO;CHIP;OVER;THE;COUNTER;25;FY2017;NEXT_FY;;;;;;;;;;;;;;
A1065954;OFFSET_2;DOBERMAN;PINSCH;AD;85;AVAILABLE;A19-169705;1;P0881967;17102;8;OWNER;SURRENDER;GENERAL;FINANCIAL;CS1750;4/28/2019;00:00;18:42:00;4/28/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;OTHER;00:00:00;K19-459005;SCAN;NO;CHIP;FIELD;NASAL;DISCHARGE;24;FY2017;NEXT_FY;;;;;;;;;;;;
A1066053;OFFSET_2;CHIHUAHUA;SH;LFD;28;AVAILABLE;1;P0622370;10904;8;OWNER;SURRENDER;GENERAL;HOUSING;JZ;4/29/2019;00:00;15:30:00;4/29/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459122;SCAN;NO;CHIP;OVER;THE;COUNTER;23;FY2017;NEXT_FY;;;;;;;;;;;;
A1066020;OFFSET_2;BOXER;AD;16;AVAILABLE;1;P0882035;10601;6;OWNER;SURRENDER;GENERAL;OTHRINTAKS;BW;4/29/2019;00:00;13:51:00;05/05/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459087;SCAN;CHIP;OVER;THE;COUNTER;23;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066139;OFFSET_2;LABRADOR;RETR;LFD;11;AVAILABLE;1;P0882148;4000;7;OWNER;SURRENDER;GENERAL;OTHRINTAKS;JZ;4/30/2019;00:00;11:56:00;4/30/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459220;SCAN;NO;CHIP;OVER;THE;COUNTER;FREE;AADOPTION;22;FY2017;NEXT_FY;;;;;;;;;;
A1066136;OFFSET_2;LABRADOR;RETR;LFD;11;AVAILABLE;1;P0882148;4000;7;OWNER;SURRENDER;GENERAL;OTHRINTAKS;JZ;4/30/2019;00:00;11:50:00;4/30/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459217;SCAN;NO;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;22;FY2017;NEXT_FY;;;;;;;;;;
A1066238;OFFSET_2;MASTIFF;LFD;18;AVAILABLE;1;P0882265;16520;3;OWNER;SURRENDER;GENERAL;NOTRIGHTFT;AH;05/01/2019;00:00;11:06:00;05/01/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459362;SCAN;NO;CHIP;OVER;THE;COUNTER;21;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066388;OFFSET_2;PIT;BULL;LFD;23;EU;RISK;1;P0882414;11200;3;OWNER;SURRENDER;GENERAL;OTHRINTAKS;AH;05/02/2019;00:00;12:47:00;05/08/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459537;SCAN;CHIP;OVER;THE;COUNTER;20;FY2017;NEXT_FY;;;;;;;;;;;;
A1066422;OFFSET_2;PIT;BULL;LFD;1;AVAILABLE;A19-170560;1;P0882433;9304;8;OWNER;SURRENDER;GENERAL;OTHER;AV1171;05/02/2019;00:00;14:40:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459574;SCAN;NO;CHIP;FIELD;20;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066413;OFFSET_2;PIT;BULL;LFD;15;AVAILABLE;A19-170599;1;P0882405;11500;7;OWNER;SURRENDER;GENERAL;HOUSING;AR1758;05/02/2019;00:00;14:22:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459564;SCAN;NO;CHIP;FIELD;20;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066336;OFFSET_2;PIT;BULL;PAWS;12;AVAILABLE;A19-170486;1;P0882338;5700;4;OWNER;SURRENDER;GENERAL;PERSNLISSU;TM1736;05/02/2019;00:00;02:07:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459473;SCAN;NO;CHIP;FIELD;20;FY2017;NEXT_FY;;;;;;;;;;;;
A1066419;OFFSET_2;PIT;BULL;LFD;1;AVAILABLE;A19-170560;1;P0882433;9304;8;OWNER;SURRENDER;GENERAL;OTHER;AV1171;05/02/2019;00:00;14:40:00;05/02/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459573;SCAN;NO;CHIP;FIELD;20;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066381;OFFSET_2;GOLDEN;RETR;LFD;21;AVAILABLE;1;P0882406;6301;4;OWNER;SURRENDER;GENERAL;PERSNLISSU;IF;05/02/2019;00:00;12:01:00;05/04/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459528;SCAN;CHIP;OVER;THE;COUNTER;20;FY2017;NEXT_FY;;;;;;;;;;;;;
A1066489;OFFSET_2;PIT;BULL;AD;55;AVAILABLE;1;P0882515;9000;7;OWNER;SURRENDER;GENERAL;HOUSING;IF;05/03/2019;00:00;11:29:00;05/04/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459653;SCAN;CHIP;OVER;THE;COUNTER;19;FY2017;NEXT_FY;;;;;;;;;;;;
A1066515;OFFSET_2;CHIHUAHUA;LH;STAR;5;AVAILABLE;1;P0673150;20500;6;OWNER;SURRENDER;GENERAL;OTHRINTAKS;DL;05/03/2019;00:00;13:26:00;05/03/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459684;SCAN;NO;CHIP;OVER;THE;COUNTER;19;FY2017;NEXT_FY;;;;;;;;;;;
A0843005;OFFSET_2;LABRADOR;RETR;LFD;6;AVAILABLE;1;P0673150;20500;6;OWNER;SURRENDER;GENERAL;OTHRINTAKS;DL;05/03/2019;00:00;13:26:00;05/03/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;MEDICAL;OTHER;00:00:00;K19-459682;SCAN;CHIP;OVER;THE;COUNTER;19;FY2017;NEXT_FY;;;;;;;;;;;;;
A1060027;OFFSET_2;PIT;BULL;STAR;2;AVAILABLE;1;P0882647;12204;7;OWNER;SURRENDER;RETURN30;NOTRIGHTFT;DG;05/04/2019;00:00;14:26:00;05/04/2019;00:00;TREATABLE;MANAGEABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-459843;SCAN;NO;CHIP;OVER;THE;COUNTER;18;FY2017;NEXT_FY;;;;;;;;;;;
A0814886;OFFSET_2;GERM;SHEPHERD;PAWS;3;AVAILABLE;1;P0657323;11900;5;OWNER;SURRENDER;GENERAL;HOUSING;IF;05/06/2019;00:00;15:20:00;05/12/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460111;SCAN;CHIP;OVER;THE;COUNTER;FREE;ADOPTION;16;FY2017;NEXT_FY;;;;;;;;;;
A0866531;OFFSET_2;LABRADOR;RETR;PAWS;13;AVAILABLE;1;P0719575;9103;5;OWNER;SURRENDER;GENERAL;HOUSING;IF;05/06/2019;00:00;14:31:00;05/06/2019;00:00;TREATABLE;REHABILITABLE;NON-CONTAGIOUS;ADOP;RESCU;OTHER;00:00:00;K19-460104;SCAN;CHIP;OVER;THE;COUNTER;16;FY2017;NEXT_FY;;;;;;;;;;;;
